evidence_id,repo_path,artifact,role_in_synthesis,sha256,size_bytes,retained_flag,notes
DF-03-E01,research/sprint_002/06_DATA_FEASIBILITY_BACKLOG.csv,sprint_002 data-feasibility backlog (accepted),DF-03 defines the point-in-time funding cashflow question (realized funding payments as position-dependent cashflows in a common numeraire) and its reconstruction test.,8f66013461f80a02cb6254d723834efe06bb52fa16b02dec8dd8627d27a45374,4718,retained,
DF-03-E02,research/sprint_003/08_RESEARCH_DATA_DECISIONS.csv,sprint_003 research data decisions (accepted),"RD-02 recorded funding cashflow feasibility and proposed a next action (normalizer/CARRY path); RD-02 is a feasibility statement/next action, not implementation authority. FUND-001/002/003 decisions recorded as accepted with no implementation authority.",9e6cb26a49af9af7444f530737c7a755c3a6c20f2bc6c42561637260be75fa8b,3484,retained,
DF-03-E03,tickets/FUND-001.md,FUND-001 ticket (accepted readiness/substrate),FUND-001 readiness/substrate accepted; implementation blocked by source evidence. Preserved.,a5a17666c3d70bc9df9ed68d15d7c9e45800bac4e170bfc949efe0a2c5a5fa5c,2804,retained,
DF-03-E04,docs/reviews/FUND-001_READINESS_REPORT.md,FUND-001 readiness report (accepted),Readiness report: substrate/plan accepted; not implementation authority.,8b4a2c7aa9dafd71cc85e5b700bc7282e12e766e73a586867b7b93ec46fbcfc4,5789,retained,
DF-03-E05,docs/reviews/REVIEW-0093_FUND-001_ACCEPTED_FUND-002_AUTHORIZED.md,FUND-001 acceptance review (accepted),Accepts FUND-001 and authorizes FUND-002 source-semantics audit; implementation blocked.,335ecfa88075a1b37348675b0297d694ed82ff99f678bdb7c650503c49e08761,1347,retained,
DF-03-E06,tickets/FUND-002.md,"FUND-002 ticket (accepted, NO_IMPLEMENTATION_AUTHORITY)",Binance funding-rate source semantics; accepted with NO_IMPLEMENTATION_AUTHORITY.,ca65222f07dc0d567d4a09f1474444cd83d1270626e0c708c941d119c37b330d,2186,retained,
DF-03-E07,docs/reviews/FUND-002_SOURCE_SEMANTICS_REPORT.md,FUND-002 source semantics report (accepted),"Documents Binance fundingRate semantics, calc_time field, rate unit/sign/formula gaps; does not authorize a realized cashflow normalizer.",66b9aecaa3f244c8c43659fbe3f685680f4aa84de1f8410d7a1256574a8cad30,9174,retained,
DF-03-E08,research/fund_002/decision_matrix.csv,FUND-002 decision matrix (accepted),Gate results underpinning FUND-002 NO_IMPLEMENTATION_AUTHORITY; retained as prior accepted evidence.,4450ab53282eee42afdcdb1975cbfe406e9dc1f694b1379e818e7618ee5027b5,2049,retained,
DF-03-E09,docs/reviews/REVIEW-0098_FUND-002_ACCEPTED_NO_IMPLEMENTATION_AUTHORITY.md,FUND-002 acceptance review (accepted),Accepts FUND-002 as NO_IMPLEMENTATION_AUTHORITY.,6dfca0017e58a15ec1316f4c0eaff96fdadbea7f23675065d3854d03a9a6432d,1594,retained,
DF-03-E10,tickets/FUND-003.md,"FUND-003 ticket (accepted, NO_IMPLEMENTATION_AUTHORITY)",OKX funding archive source semantics; accepted with NO_IMPLEMENTATION_AUTHORITY.,35a82252563da738809cdac5f708b84e6a7479b11240868d2ebb2cc4b3f11eae,2573,retained,
DF-03-E11,docs/reviews/FUND-003_OKX_SOURCE_SEMANTICS_REPORT.md,FUND-003 OKX source semantics report (accepted),"Documents OKX fundingTime settlement semantics (accepted scope), predicted-vs-realized distinction (partial), 2026 conservative bound; does not authorize historical publication-time or USD conversion.",a66dbbe468686e214cce7aaa96fcbabe9eaace3533785b0cf2410997c4d0787c,6236,retained,
DF-03-E12,research/fund_003/decision_matrix.csv,FUND-003 decision matrix (accepted),Gate results underpinning FUND-003 NO_IMPLEMENTATION_AUTHORITY; retained as prior accepted evidence.,d3f50f70ad63ad4a2a9a41b7d45fd8181d75954b2f03cb5e6109f5411ffd2d7c,3974,retained,
DF-03-E13,docs/reviews/REVIEW-0110_FUND-003_ACCEPTED_NO_IMPLEMENTATION_AUTHORITY.md,FUND-003 acceptance review (accepted),Accepts FUND-003 as NO_IMPLEMENTATION_AUTHORITY.,23fe9099aca87ea60f5e1cb50b3e4bd6a42037b4166ff3c1fb502008d20ad522,1514,retained,
DF-03-E14,tickets/FX-003.md,"FX-003 ticket (accepted, NO_PRIMARY_SOURCE_AUTHORITY)",Kraken stablecoin FX source semantics; accepted with NO_PRIMARY_SOURCE_AUTHORITY.,f63919af323fc0604cf258316c0c8e6d8f7586a086123a9950c8aa7c4c127a1f,1568,retained,
DF-03-E15,docs/reviews/REVIEW-0114_FX-003_ACCEPTED_NO_PRIMARY_SOURCE_AUTHORITY.md,FX-003 acceptance review (accepted),Accepts FX-003 as NO_PRIMARY_SOURCE_AUTHORITY; does not authorize USD conversion for funding cashflows.,b2ebb4c2ff2fd97abe52d42ee8c967d10a1d76bc368b911baf97ab4e86617364,1354,retained,
DF-03-E16,research/fx_003/decision_matrix.csv,FX-003 decision matrix (accepted),Gate results underpinning FX-003 NO_PRIMARY_SOURCE_AUTHORITY; retained as prior accepted evidence. Does not authorize USD conversion.,9d757faa388bdffa36a792c5bf965ab0e15dcf7b20fc96035ed488dbce35e7f5,3092,retained,
