evidence_id,repo_path,artifact,role_in_synthesis,sha256,size_bytes,retained_flag,notes
DF-02-E01,research/sprint_002/06_DATA_FEASIBILITY_BACKLOG.csv,sprint_002 data-feasibility backlog (accepted),"DF-02 defines the point-in-time token-unlock question (historical unlock-schedule vintages, announcement/revision known-time, actual on-chain execution) and its known-unlock reconstruction test.",8f66013461f80a02cb6254d723834efe06bb52fa16b02dec8dd8627d27a45374,4718,retained,
DF-02-E02,research/sprint_003/01_SOURCE_DECISION_REGISTER.csv,sprint_003 source decision register (accepted),Source-specific roles preserved from E02: Tokenomist DEFERRED; Messari CONDITIONAL / EXPLORATORY_PHASE2; DefiLlama unlock adapters CONDITIONAL / REFERENCE_METADATA.,291a37fa1aa0d5229e50a9eaec0e43b887f791be4cbb67347015eafb49383271,4124,retained,
DF-02-E03,research/sprint_003/02_SOURCE_OBJECT_INVENTORY.csv,sprint_003 source object inventory (accepted),"Records Tokenomist's TLS error (TLSV1_UNRECOGNIZED_NAME), Messari's 404/429 no-key gap, and the old DefiLlama SDK path returning 404 (INVALID_NONQUALIFYING). It does NOT record the DefiLlama emissions HTTP 402 response (that is E12) and does NOT establish retained adapter artifacts (old SDK path is non-qualifying).",d78fa196ea071266dbb5431b20fad5960f646a4b5ec35ec2dc3bef146ac08cef,9503,retained,
DF-02-E04,research/sprint_003/03_SCHEMA_AND_SEMANTICS_AUDIT.csv,sprint_003 schema/semantics audit (accepted),"Records Tokenomist's expected schema as unconfirmed, vintage preservation as unknown (CANNOT CONFIRM vintage preservation), and on-chain vesting as required but unqueried. No observed on-chain execution fields (on-chain row is 'not queried').",fa2e6c85d9807cc311736b0c4773745f1c6073efe4b7d20336dda80aec26d3c6,5770,retained,
DF-02-E05,research/sprint_003/04_POINT_IN_TIME_REFERENCE_PLAN.md,sprint_003 point-in-time reference plan (accepted),PIT reference plan; announcement known-time vs effective-time and revision/vintage history identified as required but unproven.,5d70415e540d8667c53d70e283eb1963b57711e108ef6837f5bd8f0bb97a3fee,6842,retained,
DF-02-E06,research/sprint_003/05_CORRECTION_AND_REVISION_AUDIT.md,sprint_003 correction/revision audit (accepted),Revision/correction audit; revision publication-known-time history unproven from retained evidence.,02be9fa31d4c6a43f712da6812fc61cfe11e5d047f6187b90a49f46dfc160d25,4081,retained,
DF-02-E07,research/sprint_003/07_VENDOR_TRIAL_REQUIREMENTS.md,sprint_003 vendor trial requirements (accepted),"Vendor trial requirements; access/licensing prerequisites recorded for Tokenomist (DEFERRED, TLS), Messari (CONDITIONAL, key), and DefiLlama (emissions HTTP 402 / paid). E07 is the trial-prerequisite citation for G01 and the licensing citation for G07.",ea2c662eb536448884fd731ea2cfb5d3370e5ed66c3de2bdb084e614763e955b,5307,retained,
DF-02-E08,research/sprint_003/08_RESEARCH_DATA_DECISIONS.csv,sprint_003 research data decisions (accepted),Unlock/ Dilution decisions deferred; DIL-01 remains deferred; dependent work blocked.,9e6cb26a49af9af7444f530737c7a755c3a6c20f2bc6c42561637260be75fa8b,3484,retained,
DF-02-E09,research/sprint_003/09_OPEN_QUESTIONS.md,sprint_003 open questions (accepted),Open questions on mapping and execution reconciliation; unresolved at audit time.,a7899b9a4d7b37c79c66f598b6f00abde5b32d1911af31224fe7e6ede2aa602f,2675,retained,
DF-02-E10,research/sprint_003/13_RESEARCH_LEAD_DECISIONS.md,sprint_003 research lead decisions (accepted),"Research Lead per-provider decisions exactly: DefiLlama = CONDITIONAL - EXPLORATORY_PHASE2; emissions access not established as free. Tokenomist / Messari = DEFER pending authorized access or vendor trial. DIL-01 remains deferred. E10 is the Research Lead decision record, NOT the source-register roles (those are E02).",00e0be1aba17a02d99baaf5e1f424fbe9bec5ea39657b5e448bf472a9e80f17a,2688,retained,
DF-02-E11,research/sprint_003/sources/token_unlocks.md,sprint_003 token_unlocks source note (accepted),Tokenomist/Messari detail source note: Tokenomist TLS-unreachable; Messari 404/429 no key (EXPLORATORY_PHASE2); licensing warning (commercial terms). E11 provides G01 Tokenomist/Messari detail and G07 licensing warning.,7f42b1e5069449b98b3ce7940361dfc83ef25980e36fbc9434f77ce7903e1247,2194,retained,
DF-02-E12,research/sprint_003/sources/defillama.md,sprint_003 defillama source note (accepted),DefiLlama detail source note: documents the DefiLlama emissions API HTTP 402 (paid plan) and the adapter-repository/access context (old SDK path 404; current repo located). It does NOT describe the source-note file itself as adapter code. E12 is the DefiLlama HTTP 402 citation for G01 and the adapter/access-context citation for G06.,7c97a988fcbfba94957e803668b936c070140728b27712243ef8fba533406bcc,1812,retained,
DF-02-E13,research/sprint_003/audit_results/evidence_reconciliation.csv,sprint_003 evidence reconciliation (accepted),"Evidence reconciliation rows: records retained adapter-file paths, sizes, and accepted hashes. It does NOT claim to establish a pinned upstream commit (pinning is a separate procurement/verification step). E13 is the retained-adapter-artifact citation for G06.",b8eab3561eecd646ba18e6dd1694cad87d2656dddfff3541c0b926313ff0c9fa,6997,retained,
DF-02-E14,research/sprint_003/audit_results/hash_verification.json,sprint_003 hash verification (accepted),Hash verification JSON; accepted SHA-256 for unlock-related collected objects.,e9b958886b51c062e7d119d90f6fb1c2e160e27dcb7ea07e2a6804044f9e5c3b,10264,retained,
