evidence_id,repo_path,artifact,role_in_synthesis,sha256,size_bytes,retained_flag,notes
DF-01-E01,research/sprint_002/06_DATA_FEASIBILITY_BACKLOG.csv,sprint_002 data-feasibility backlog (accepted),Defines the P0 DF-01 historical supply question (circulating + max/FDV per asset per day); lists candidate primary sources including Coin Metrics (ATLAS); records point-in-time/vintage risks and the contemporaneous-published-value audit test. Does NOT establish the Coin Metrics Community role or authority.,8f66013461f80a02cb6254d723834efe06bb52fa16b02dec8dd8627d27a45374,4718,retained,
DF-01-E02,research/sprint_003/01_SOURCE_DECISION_REGISTER.csv,sprint_003 source decision register (accepted),Records Coin Metrics Community role as conditional reference metadata (see E07/AUD-003 acceptance).,291a37fa1aa0d5229e50a9eaec0e43b887f791be4cbb67347015eafb49383271,4124,retained,
DF-01-E03,research/sprint_003/02_SOURCE_OBJECT_INVENTORY.csv,sprint_003 source object inventory (accepted),"The Coin Metrics Community inventory rows retain request URLs, retrieval/status facts, and observations. E08/E09 retain the accepted hashes; E03 itself does not contain a hash for every timeseries request (some rows have empty sha256).",d78fa196ea071266dbb5431b20fad5960f646a4b5ec35ec2dc3bef146ac08cef,9503,retained,
DF-01-E04,research/sprint_003/03_SCHEMA_AND_SEMANTICS_AUDIT.csv,sprint_003 schema/semantics audit (accepted),Notes SplyCur is issued supply field; semantics not circulating float.,fa2e6c85d9807cc311736b0c4773745f1c6073efe4b7d20336dda80aec26d3c6,5770,retained,
DF-01-E05,research/sprint_003/05_CORRECTION_AND_REVISION_AUDIT.md,sprint_003 correction/revision audit (accepted),Server-side revisions/backfills exist; no retained historical vintages.,02be9fa31d4c6a43f712da6812fc61cfe11e5d047f6187b90a49f46dfc160d25,4081,retained,
DF-01-E06,research/sprint_003/08_RESEARCH_DATA_DECISIONS.csv,sprint_003 research data decisions (accepted),"Prior findings: Coin Metrics observations were acquired; issued supply is not float; micro-cap coverage is limited; NET-01 remains conditional until publication-time and revisions are bounded; DIL-01 remains blocked.",9e6cb26a49af9af7444f530737c7a755c3a6c20f2bc6c42561637260be75fa8b,3484,retained,
DF-01-E07,research/sprint_003/13_RESEARCH_LEAD_DECISIONS.md,sprint_003 research lead decisions (accepted; AUD-003 acceptance REVIEW-0008_AUD-003_FINAL.md),Records exactly: Coin Metrics Community is CONDITIONAL - EXPLORATORY_PHASE2 and DIL-01 remains deferred. (Prior Sprint-003 acceptance record; does NOT constitute the new DF-01 decision.),00e0be1aba17a02d99baaf5e1f424fbe9bec5ea39657b5e448bf472a9e80f17a,2688,retained,
DF-01-E08,research/sprint_003/audit_results/evidence_reconciliation.csv,sprint_003 evidence reconciliation (accepted),Reconciles retained inventory/hashes; no raw API bodies retained.,b8eab3561eecd646ba18e6dd1694cad87d2656dddfff3541c0b926313ff0c9fa,6997,retained,
DF-01-E09,research/sprint_003/audit_results/hash_verification.json,sprint_003 hash verification (accepted),SHA-256 verification of retained audit artifacts; original bodies not in repo.,e9b958886b51c062e7d119d90f6fb1c2e160e27dcb7ea07e2a6804044f9e5c3b,10264,retained,
DF-01-E10,research/sprint_003/sources/coin_metrics.md,sprint_003 Coin Metrics source note (accepted),Documents Community API scope; licensing/retention authority not established.,bdcfe058b166f433cb205d2f9abbe405d06ca43baa6b2d5fb88273d886633e4e,2664,retained,
